Name,Description,Date,Location,Latitude,Longitude,,Chron,,
Plaza de Armas Ollantaytambo,Met a Texas couple on the plane to Cusco and we hung out all day in Ollantaytambo before I went home for some wine with my airbnb hosts.,Mon 08 Jun 15 02:31:38 +0000,-13.258508719221 -72.2634569921076,-13.258508719221,-72.2634569921076,,08 Jun 15 02:31:38,,
Aeropuerto Internacional Comodoro Arturo Merino Benítez (SCL),Against all my predictions my flight to Lima appears to be taking off only a couple minutes late!,Sat 06 Jun 15 17:00:58 +0000,-33.39569603406534 -70.79417677443335,-33.39569603406534,-70.79417677443335,,06 Jun 15 17:00:58,,
Terminal de Ómnibus de Mendoza,It's a beautiful day! Time for the return trip over the mountains to Santiago :),Fri 05 Jun 15 13:22:18 +0000,-32.8948366379187 -68.8296633860778,-32.8948366379187,-68.8296633860778,,05 Jun 15 13:22:18,,
Bodega Nieto Senetiner,Light lunch to outweigh the few glasses of wine so far.,Tue 02 Jun 15 17:27:34 +0000,-33.0140261300364 -68.9132344829326,-33.0140261300364,-68.9132344829326,,02 Jun 15 17:27:34,,
Plaza España,I haven't liked a city on sight like this since Barcelona.,Sun 31 May 15 21:34:06 +0000,-32.8935572061318 -68.8427159311667,-32.8935572061318,-68.8427159311667,,31 May 15 21:34:06,,
Chill Inn Hostel,This hostel looks pretty good on check -in. Kitchen pool PlayStation...;),Sun 31 May 15 20:22:26 +0000,-32.8919867150485 -68.8563040087431,-32.8919867150485,-68.8563040087431,,31 May 15 20:22:26,,
Terminal de Buses Santiago,Catching the bus to Argentina to eat steak for a week.,Sun 31 May 15 11:55:29 +0000,-33.4540987551869 -70.6877683478536,-33.4540987551869,-70.6877683478536,,31 May 15 11:55:29,,
San José de Maipo,Heading out trekking in the Andes for the day,Sat 30 May 15 12:58:43 +0000,-33.6405108029502 -70.3532703751665,-33.6405108029502,-70.3532703751665,,30 May 15 12:58:43,,
Plaza de la Constitución,Pretty nice for late autumn!,Wed 27 May 15 20:26:17 +0000,-33.4421714655136 -70.6541542796266,-33.4421714655136,-70.6541542796266,,27 May 15 20:26:17,,
Museo de la Memoria y los Derechos Humanos,This feels kind of like museums in Prague,Wed 27 May 15 17:05:23 +0000,-33.4395511952391 -70.6800954632084,-33.4395511952391,-70.6800954632084,,27 May 15 17:05:23,,
Parque Bustamante,lots of random street performers in the parks; acrobats singers clowns. Lots of people wandering/sitting/running/biking too,Sun 24 May 15 22:13:57 +0000,-33.4398849338071 -70.6320456702581,-33.4398849338071,-70.6320456702581,,24 May 15 22:13:57,,
Cumbre Cerro San Cristóbal,if you come enough apparently there's not so much smog either,Sun 24 May 15 18:50:52 +0000,-33.4258193203323 -70.6325510543023,-33.4258193203323,-70.6325510543023,,24 May 15 18:50:52,,
Ascensor El Peral,A funicular!,Sat 23 May 15 20:18:49 +0000,-33.040050216429 -71.6288821080381,-33.040050216429,-71.6288821080381,,23 May 15 20:18:49,,
Plaza Sotomayor,@ Plaza Sotomayor,Sat 23 May 15 19:52:03 +0000,-33.0384201234661 -71.6282505046904,-33.0384201234661,-71.6282505046904,,23 May 15 19:52:03,,
Paseo 21 de Mayo,Beautiful view tourist street market,Sat 23 May 15 18:51:39 +0000,-33.0348613745099 -71.6292529571585,-33.0348613745099,-71.6292529571585,,23 May 15 18:51:39,,
Restaurant Mi Viejo Lobo De Mar,This restaurant smells delicious and apparently we all get pisco sours!,Sat 23 May 15 17:04:44 +0000,-33.0222474305312 -71.6335988148485,-33.0222474305312,-71.6335988148485,,23 May 15 17:04:44,,
Casa Museo Isla Negra,This dude is my interior decorating hero.,Sat 23 May 15 15:18:53 +0000,-33.4424284875375 -71.6828247524689,-33.4424284875375,-71.6828247524689,,23 May 15 15:18:53,,
Plaza de Armas,Doing some touristing... Found a bookstore ;),Fri 22 May 15 18:10:15 +0000,-33.4377128730592 -70.6508432802827,-33.4377128730592,-70.6508432802827,,22 May 15 18:10:15,,
Costanera Center,Shopping with my host family. Sadly nobody sells fitbit chargers.,Thu 21 May 15 19:40:32 +0000,-33.4185261620405 -70.6072231211032,-33.4185261620405,-70.6072231211032,,21 May 15 19:40:32,,
Starbucks,Una visita con la escuela!,Wed 20 May 15 20:48:08 +0000,-33.431785829873 -70.6290888726798,-33.431785829873,-70.6290888726798,,20 May 15 20:48:08,,
Casa Museo La Chascona,Apparently Pablo Neruda had great taste.,Wed 20 May 15 20:05:10 +0000,-33.4344741720718 -70.6315460947123,-33.4344741720718,-70.6315460947123,,20 May 15 20:05:10,,
Cafe 280,Trying to find good coffee this is not bad! The pastries look delicious...,Wed 20 May 15 18:36:48 +0000,-33.4331208019366 -70.6211885008094,-33.4331208019366,-70.6211885008094,,20 May 15 18:36:48,,
Los Cuates,Lunch with a bunch of other students,Tue 19 May 15 17:27:04 +0000,-33.4311681480405 -70.6187544635509,-33.4311681480405,-70.6187544635509,,19 May 15 17:27:04,,
ECELA Spanish Schools in South America - Santiago,Four hours a day for two weeks.,Mon 18 May 15 20:53:26 +0000,-33.4420608079971 -70.6178191858857,-33.4420608079971,-70.6178191858857,,18 May 15 20:53:26,,
Aeropuerto Internacional Comodoro Arturo Merino Benítez (SCL),In Santiago ready for a good night's sleep before I begin Spanish classes tomorrow morning,Mon 18 May 15 00:20:43 +0000,-33.3973923010165 -70.7935089668735,-33.3973923010165,-70.7935089668735,,18 May 15 00:20:43,,
Aeropuerto Internacional Comodoro Arturo Merino Benítez (SCL),Heading from Easter Island to Santiago. Easter Island was pretty cool guys you should go.,Sun 17 May 15 19:16:21 +0000,-27.1592861001342 -109.428586746269,-27.1592861001342,-109.428586746269,,17 May 15 19:16:21,,
Café Tahai,Dinner out fish of the day in coconut cream sauce,Fri 15 May 15 02:30:33 +0000,-27.1511518437992 -109.430469100999,-27.1511518437992,-109.430469100999,,15 May 15 02:30:33,,
Hanga Roa,Making myself a candlelit dinner because the whole town (that I could see) has lost power. Apparently this never happens I'm just lucky.,Thu 14 May 15 01:46:21 +0000,-27.1519317594659 -109.430068228567,-27.1519317594659,-109.430068228567,,14 May 15 01:46:21,,
Isla de Pascua | Rapa Nui,I think my timezone is now ahead of Seattle! Winning! Now for a quick nap...,Tue 12 May 15 18:39:57 +0000,-27.1518202769286 -109.429498874069,-27.1518202769286,-109.429498874069,,12 May 15 18:39:57,,
Quai Bateaux Gare Maritime Moorea,Gambled on taking the bus to the ferry instead of a taxi. Nearly lost but finally made it for the last ferry back to Tahiti/the airport.,Tue 12 May 15 02:56:54 +0000,-17.4998045832487 -149.763334554996,-17.4998045832487,-149.763334554996,,12 May 15 02:56:54,,
Hotel Hibiscus,such luxury!,Mon 11 May 15 00:28:42 +0000,-17.4986003600421 -149.91444442445,-17.4986003600421,-149.91444442445,,11 May 15 00:28:42,,
Papeete,Off the plane through the rain greeted with a lei and a quick ride to my hotel! So far so good Tahiti.,Fri 08 May 15 11:37:21 +0000,-17.5693555399164 -149.608553624729,-17.5693555399164,-149.608553624729,,08 May 15 11:37:21,,
Auckland Airport (AKL) International Terminal,Checked in and heading to Tahiti!,Fri 08 May 15 04:06:31 +0000,-37.00472337925014 174.78372332037046,-37.00472337925014,174.78372332037046,,08 May 15 04:06:31,,
Britomart Transport Centre,Catching a bus to Hobbiton. Also saw sunrise!,Wed 06 May 15 19:17:44 +0000,-36.84277406128104 174.76552978868241,-36.84277406128104,174.76552978868241,,06 May 15 19:17:44,,
Auckland Central City Library,@ Auckland Central City Library,Wed 06 May 15 05:42:07 +0000,-36.85161754836495 174.76497915151091,-36.85161754836495,174.76497915151091,,06 May 15 05:42:07,,
Unity Books,I think I just heard a girl talk for twenty minutes straight in there. She was going when I arrived and still when I left.,Wed 06 May 15 04:53:39 +0000,-36.84715032597832 174.7662435697067,-36.84715032597832,174.7662435697067,,06 May 15 04:53:39,,
Auckland War Memorial Museum,Back for a Maori cultural performance along with all the school children,Wed 06 May 15 01:17:10 +0000,-36.86111069851181 174.777453859429,-36.86111069851181,174.777453859429,,06 May 15 01:17:10,,
Better Burger,Did not chicken out of joining a random meetup,Tue 05 May 15 08:44:49 +0000,-36.84487422568985 174.76883350021586,-36.84487422568985,174.76883350021586,,05 May 15 08:44:49,,
Auckland War Memorial Museum,@ Auckland War Memorial Museum,Tue 05 May 15 03:51:18 +0000,-36.85973965250562 174.77713781957863,-36.85973965250562,174.77713781957863,,05 May 15 03:51:18,,
Wintergarden,Fernery conservatory and tropical conservatory. Signs are for your own safety as well as the plants.,Tue 05 May 15 03:22:11 +0000,-36.8613003371605 174.77425260065647,-36.8613003371605,174.77425260065647,,05 May 15 03:22:11,,
Albert Park,@ Albert Park,Tue 05 May 15 02:14:55 +0000,-36.85142540096056 174.76847662700604,-36.85142540096056,174.76847662700604,,05 May 15 02:14:55,,
The Whisky Shop,Featuring a New Zealand 1987 whisky commemorating their greatest sporting victory.,Tue 05 May 15 01:37:16 +0000,-36.85060463549097 174.76351585841354,-36.85060463549097,174.76351585841354,,05 May 15 01:37:16,,
Ponsonby Backpackers,Friendly set of people,Mon 04 May 15 10:46:50 +0000,-36.85316731340452 174.7459126161329,-36.85316731340452,174.7459126161329,,04 May 15 10:46:50,,
Auckland Airport (AKL) International Terminal,Made it!,Mon 04 May 15 07:17:45 +0000,-37.004332017091166 174.7831473742501,-37.004332017091166,174.7831473742501,,04 May 15 07:17:45,,
Melbourne Airport (MEL),Heading off for my first trip to New Zealand!,Mon 04 May 15 02:34:12 +0000,-37.669137800066366 144.84728917029278,-37.669137800066366,144.84728917029278,,04 May 15 02:34:12,,
Monk &amp; Me,Family dinner before leaving australia again.,Sun 03 May 15 08:44:17 +0000,-37.83009027224904 145.0556712251803,-37.83009027224904,145.0556712251803,,03 May 15 08:44:17,,
Edge Church Burwood,Prison ministry trivia night. Penalties for looking at your phone so I'm going to have to turn it off for safety!,Sat 02 May 15 09:59:34 +0000,-37.855600477163456 145.1114539577064,-37.855600477163456,145.1114539577064,,02 May 15 09:59:34,,
ThoughtWorks,Open Knowledge meetup,Wed 29 Apr 15 10:19:06 +0000,-37.816669644221115 144.9645850219509,-37.816669644221115,144.9645850219509,,29 Apr 15 10:19:06,,
Grand Trailer Park Taverna,Spiked milkshakes if I have room...,Tue 28 Apr 15 11:04:11 +0000,-37.81216496974503 144.9706246149562,-37.81216496974503,144.9706246149562,,28 Apr 15 11:04:11,,
Robinsons Bookshop,Melbourne's oldest apparently!,Tue 28 Apr 15 09:01:59 +0000,-37.8122071299957 144.96400421128854,-37.8122071299957,144.96400421128854,,28 Apr 15 09:01:59,,
Camberwell Market,Clothes shopping for mum I think I might have even found the right thing!,Sun 26 Apr 15 01:44:20 +0000,-37.82875854742886 145.05846541294719,-37.82875854742886,145.05846541294719,,26 Apr 15 01:44:20,,
Jinda Thai Restaurant,Dinner! Worked up an appetite,Fri 24 Apr 15 10:41:21 +0000,-37.809395325952764 144.99221580443955,-37.809395325952764,144.99221580443955,,24 Apr 15 10:41:21,,
The Aviary,Pre dinner drinks,Fri 24 Apr 15 09:21:04 +0000,-37.80977215685163 144.99358224927175,-37.80977215685163,144.99358224927175,,24 Apr 15 09:21:04,,
Beach Burrito Company,@ Beach Burrito Company,Sat 18 Apr 15 09:20:43 +0000,-27.478949924198563 153.01263941150629,-27.478949924198563,153.01263941150629,,18 Apr 15 09:20:43,,
Archive Beer Boutique,@ Archive Beer Boutique,Sat 18 Apr 15 08:28:03 +0000,-27.478976047999705 153.01301882398798,-27.478976047999705,153.01301882398798,,18 Apr 15 08:28:03,,
Boundary Hotel,Showing Nathan and Erin some AFL,Sat 18 Apr 15 06:13:11 +0000,-27.47854243011004 153.01274288757006,-27.47854243011004,153.01274288757006,,18 Apr 15 06:13:11,,
Tomahawk Bar,Erin finally picked somewhere for lunch.,Sat 18 Apr 15 04:38:26 +0000,-27.48024285084138 153.02288378751805,-27.48024285084138,153.02288378751805,,18 Apr 15 04:38:26,,
Criterion Tavern,@ Criterion Tavern,Fri 17 Apr 15 06:50:43 +0000,-27.47007935374639 153.02307350286358,-27.47007935374639,153.02307350286358,,17 Apr 15 06:50:43,,
Pig 'N' Whistle,Trivia finding failure. Retreat to a bar!,Thu 16 Apr 15 10:42:29 +0000,-27.46653026908505 153.03024831704403,-27.46653026908505,153.03024831704403,,16 Apr 15 10:42:29,,
Kookaburra Inn,Tropical sunset from the terrace  #brisbane,Thu 16 Apr 15 07:42:21 +0000,-27.460455043985018 153.0283223614938,-27.460455043985018,153.0283223614938,,16 Apr 15 07:42:21,,
Yum Yum Dumplings,Overdoing it dumplings on my way home,Wed 15 Apr 15 10:47:28 +0000,-37.81721408204193 144.9638912763478,-37.81721408204193,144.9638912763478,,15 Apr 15 10:47:28,,
ThoughtWorks,Goal &quot;meet programmers in a new country every month April&quot;: check. Talk on VicRoads data.,Wed 15 Apr 15 08:23:36 +0000,-37.81645240990674 144.9642677267401,-37.81645240990674,144.9642677267401,,15 Apr 15 08:23:36,,
Groove Train,Late dinner,Fri 10 Apr 15 10:30:51 +0000,-37.81883358850176 145.001786763703,-37.81883358850176,145.001786763703,,10 Apr 15 10:30:51,,
Bimbo Deluxe,Tim's 29th birthday same bar as he held his 19th apparently. Such traditions!,Thu 09 Apr 15 08:33:13 +0000,-37.79577069851227 144.97899901549545,-37.79577069851227,144.97899901549545,,09 Apr 15 08:33:13,,
Melbourne City Library,Free books!,Thu 09 Apr 15 05:05:23 +0000,-37.816829681091505 144.9658219469145,-37.816829681091505,144.9658219469145,,09 Apr 15 05:05:23,,
The Book Grocer,A closing down sale every book $3,Thu 09 Apr 15 03:19:20 +0000,-37.81763179482926 144.95843293505533,-37.81763179482926,144.95843293505533,,09 Apr 15 03:19:20,,
Fiorelli,First person here for a family dinner!,Wed 08 Apr 15 08:52:16 +0000,-37.83030228113889 145.05527283212106,-37.83030228113889,145.05527283212106,,08 Apr 15 08:52:16,,
Village Rivoli Cinema,Just queuing up for tickets for mum on my way past!,Wed 08 Apr 15 08:49:34 +0000,-37.83030410351652 145.05527821579855,-37.83030410351652,145.05527821579855,,08 Apr 15 08:49:34,,
Cabinet Bar &amp; Balcony,Between comedy show drinks,Sun 05 Apr 15 12:14:33 +0000,-37.814288938059505 144.96641352615399,-37.814288938059505,144.96641352615399,,05 Apr 15 12:14:33,,
Australian Centre for the Moving Image (ACMI),Aunty Donna at the Comedy Festival with Tim,Sun 05 Apr 15 10:47:21 +0000,-37.817208251078796 144.96884442270428,-37.817208251078796,144.96884442270428,,05 Apr 15 10:47:21,,
Mercadante Woodfired Pizzeria,Pre-comedy pizza with Tim,Sun 05 Apr 15 09:38:05 +0000,-37.804195529657285 144.9663005879778,-37.804195529657285,144.9663005879778,,05 Apr 15 09:38:05,,
Big Cup,Coffee before groceries,Sat 04 Apr 15 00:20:22 +0000,-37.83107456535478 145.05817468391209,-37.83107456535478,145.05817468391209,,04 Apr 15 00:20:22,,
Degani Bakery Cafe,Good Friday morning coffee,Fri 03 Apr 15 00:24:54 +0000,-37.83161736556748 145.05868615232544,-37.83161736556748,145.05868615232544,,03 Apr 15 00:24:54,,
Melbourne Airport (MEL),Only 9 hours until a reasonable bedtime...,Wed 01 Apr 15 00:19:02 +0000,-37.66929197160843 144.85081220445136,-37.66929197160843,144.85081220445136,,01 Apr 15 00:19:02,,
Korean Airlines Lounge,Super relaxing except for the crying baby.,Tue 31 Mar 15 02:05:18 +0000,33.94276558947199 -118.4101004578638,33.94276558947199,-118.4101004578638,,31 Mar 15 02:05:18,,
Vostok Dumpling House,Dumplings and borscht for one last American meal with Nick,Mon 30 Mar 15 18:43:06 +0000,47.61401000542682 -122.32167326161512,47.61401000542682,-122.32167326161512,,30 Mar 15 18:43:06,,
Marination Station,@ Marination Station,Mon 30 Mar 15 18:41:47 +0000,47.61399471941015 -122.32165383779171,47.61399471941015,-122.32165383779171,,30 Mar 15 18:41:47,,
Vermillion Gallery &amp; Wine Bar,Campfire bbq with Nick,Mon 30 Mar 15 02:22:56 +0000,47.61445898535683 -122.31858325239288,47.61445898535683,-122.31858325239288,,30 Mar 15 02:22:56,,
Smash Putt,@ Smash Putt,Sun 29 Mar 15 23:16:46 +0000,47.61199412474327 -122.3025369320493,47.61199412474327,-122.3025369320493,,29 Mar 15 23:16:46,,
Mr. Lu's Seafood &amp; Burgers,Hunger fixing with Nick,Sun 29 Mar 15 21:33:54 +0000,47.66467720465798 -122.31305862122286,47.66467720465798,-122.31305862122286,,29 Mar 15 21:33:54,,
Hot Cakes Molten Chocolate Cakery,Sheepling,Sun 29 Mar 15 04:19:30 +0000,47.66790470273433 -122.38501318038215,47.66790470273433,-122.38501318038215,,29 Mar 15 04:19:30,,
Populuxe Brewing,@ Populuxe Brewing,Sun 29 Mar 15 01:27:06 +0000,47.66457582084313 -122.36775036018194,47.66457582084313,-122.36775036018194,,29 Mar 15 01:27:06,,
Peddler Brewing Company,Joining Paul's birthday brewery crawl,Sun 29 Mar 15 00:54:34 +0000,47.663628132125176 -122.37689946513304,47.663628132125176,-122.37689946513304,,29 Mar 15 00:54:34,,
Po Dog,@ Po Dog,Sun 29 Mar 15 00:21:44 +0000,47.66858023623948 -122.38219464545219,47.66858023623948,-122.38219464545219,,29 Mar 15 00:21:44,,
Kedai Makan,Late night burgers with Nick,Sat 28 Mar 15 08:49:20 +0000,47.6179455251015 -122.32609993277633,47.6179455251015,-122.32609993277633,,28 Mar 15 08:49:20,,
Kedai Makan,Late night burgers,Sat 28 Mar 15 08:48:52 +0000,47.618187032862004 -122.32585999989348,47.618187032862004,-122.32585999989348,,28 Mar 15 08:48:52,,
Barça,@ Barça,Sat 28 Mar 15 03:15:39 +0000,47.6145114477275 -122.31860357387063,47.6145114477275,-122.31860357387063,,28 Mar 15 03:15:39,,
Barça,Home again harassing Nick at work!,Thu 26 Mar 15 03:53:50 +0000,47.614522565183265 -122.31863623282187,47.614522565183265,-122.31863623282187,,26 Mar 15 03:53:50,,
Kirin Seafood Restaurant 玉麒麟海鮮酒家,Dim sum at the Chinese Restaurant Awards 2015 dim sum winner with Nick,Wed 25 Mar 15 19:34:47 +0000,49.26078722668775 -123.11514714071514,49.26078722668775,-123.11514714071514,,25 Mar 15 19:34:47,,
Pourhouse,Cocktails and dinner with Nick and Tyler and Evan,Wed 25 Mar 15 02:14:11 +0000,49.28412416365389 -123.10871240529612,49.28412416365389,-123.10871240529612,,25 Mar 15 02:14:11,,
Pourhouse,@ Pourhouse,Wed 25 Mar 15 02:12:26 +0000,49.28405014145185 -123.10670256702953,49.28405014145185,-123.10670256702953,,25 Mar 15 02:12:26,,
Green Leaf Brewing Co.,Trying a beer sampler with Nick. A very nice lager!,Wed 25 Mar 15 00:49:04 +0000,49.31039779436678 -123.08238944864465,49.31039779436678,-123.08238944864465,,25 Mar 15 00:49:04,,
Café by Tao,Some delicious raw vegan food with Nick,Tue 24 Mar 15 23:56:17 +0000,49.311870679586455 -123.08066219792263,49.311870679586455,-123.08066219792263,,24 Mar 15 23:56:17,,
Stanley Park,Looking at cherry trees and other trees with Nick,Tue 24 Mar 15 21:33:58 +0000,49.30167232953111 -123.13112269201378,49.30167232953111,-123.13112269201378,,24 Mar 15 21:33:58,,
Lumberman's Arch Stanley Park,Cherry trees and sun!,Tue 24 Mar 15 21:32:40 +0000,49.30167232953111 -123.13112269201378,49.30167232953111,-123.13112269201378,,24 Mar 15 21:32:40,,
Suika,Sushi and ramen with Nick,Tue 24 Mar 15 03:19:26 +0000,49.26363284443401 -123.14182628687641,49.26363284443401,-123.14182628687641,,24 Mar 15 03:19:26,,
Simon Fraser University,Post presentation beers with Nick et al,Mon 23 Mar 15 19:02:07 +0000,49.279276099792135 -122.92002864493563,49.279276099792135,-122.92002864493563,,23 Mar 15 19:02:07,,
Simon Fraser University,Attending Devin's Masters proposal presentation with Nick,Mon 23 Mar 15 18:26:14 +0000,49.277314192596386 -122.91792870705048,49.277314192596386,-122.91792870705048,,23 Mar 15 18:26:14,,
The Winking Judge Pub,Pre movie drinks with Nick,Mon 23 Mar 15 01:35:50 +0000,49.28209023551618 -123.12409462710445,49.28209023551618,-123.12409462710445,,23 Mar 15 01:35:50,,
Granville Island Brewing,Checking out some local beer with Nick and Devin and Kristina,Sun 22 Mar 15 23:56:27 +0000,49.27295276495826 -123.13721272215335,49.27295276495826,-123.13721272215335,,22 Mar 15 23:56:27,,
Zeitgeist Kunst &amp; Kaffee,Breakfast on the way to vancouver,Sun 22 Mar 15 16:26:17 +0000,47.59908495096378 -122.33147732210769,47.59908495096378,-122.33147732210769,,22 Mar 15 16:26:17,,
Barça,@ Barça,Sun 22 Mar 15 07:11:11 +0000,47.61451388477603 -122.31817112971294,47.61451388477603,-122.31817112971294,,22 Mar 15 07:11:11,,
Sitting Room,@ Sitting Room,Sat 21 Mar 15 05:03:57 +0000,47.625510261863184 -122.35855904910227,47.625510261863184,-122.35855904910227,,21 Mar 15 05:03:57,,
The Vera Project,Nathan's band,Sat 21 Mar 15 03:35:59 +0000,47.62300708226049 -122.35342604578476,47.62300708226049,-122.35342604578476,,21 Mar 15 03:35:59,,
Solo-Bar,Pre show dinner,Sat 21 Mar 15 02:28:01 +0000,47.62540195969308 -122.35190957060364,47.62540195969308,-122.35190957060364,,21 Mar 15 02:28:01,,
A-Pizza Mart North,@ A-Pizza Mart North,Thu 19 Mar 15 22:39:01 +0000,47.66740740863418 -122.3132337418794,47.66740740863418,-122.3132337418794,,19 Mar 15 22:39:01,,
Sureshot,@ Sureshot,Thu 19 Mar 15 21:42:46 +0000,47.66147559033815 -122.31325846027512,47.66147559033815,-122.31325846027512,,19 Mar 15 21:42:46,,
University True Value,@ University True Value,Thu 19 Mar 15 21:28:01 +0000,47.66444279597176 -122.31302057504142,47.66444279597176,-122.31302057504142,,19 Mar 15 21:28:01,,
Starbucks,@ Starbucks,Wed 18 Mar 15 22:54:37 +0000,47.61944630292882 -122.32522656128971,47.61944630292882,-122.32522656128971,,18 Mar 15 22:54:37,,
The Lookout,Here to win trivia,Wed 18 Mar 15 01:29:30 +0000,47.62653571709068 -122.32664455785951,47.62653571709068,-122.32664455785951,,18 Mar 15 01:29:30,,
Cafe Pettirosso,Beaty's last meal in Seattle. Thought I'd make it a nice one.,Tue 17 Mar 15 19:17:48 +0000,47.6140306018596 -122.31846524637363,47.6140306018596,-122.31846524637363,,17 Mar 15 19:17:48,,
Clever Dunne's,Nick and trivia in a Monday night it's just weird,Tue 17 Mar 15 03:05:55 +0000,47.61787951098617 -122.3260716475806,47.61787951098617,-122.3260716475806,,17 Mar 15 03:05:55,,
Stepping Stone Cafe,Breakfast!,Mon 16 Mar 15 18:19:27 +0000,45.533881300545794 -122.70031214689179,45.533881300545794,-122.70031214689179,,16 Mar 15 18:19:27,,
Powell's City of Books,I am not buying anything.,Mon 16 Mar 15 02:09:34 +0000,45.523407352996614 -122.68138415917544,45.523407352996614,-122.68138415917544,,16 Mar 15 02:09:34,,
Kells Brew Pub,Watching the timbers game right near their stadium,Sun 15 Mar 15 23:30:53 +0000,45.52447845997414 -122.69401400507174,45.52447845997414,-122.69401400507174,,15 Mar 15 23:30:53,,
Amtrak Train 11 (Coast Starlight),Off to Portland with Beaty,Sun 15 Mar 15 16:37:22 +0000,47.594080889889234 -122.32937874152134,47.594080889889234,-122.32937874152134,,15 Mar 15 16:37:22,,
Hot Mama's Pizza,Late night foods with Nick,Sat 14 Mar 15 08:56:20 +0000,47.615175529454156 -122.3236640623482,47.615175529454156,-122.3236640623482,,14 Mar 15 08:56:20,,
Sole Repair,Party with everyone!,Sat 14 Mar 15 03:10:28 +0000,47.61380405159094 -122.31976202413222,47.61380405159094,-122.31976202413222,,14 Mar 15 03:10:28,,
